"","amounts","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","Probability","Each_EV","Sales_up","EV_up"
"25",24,0.0268817204301075,0.0241935483870968,0.0403225806451613,0.0349462365591398,0.0336021505376344,0.0362903225806452,0.0295698924731183,0.0376344086021505,0.0268817204301075,0.0241935483870968,0.0314516129032258,0.754838709677419,30,0.943548387096774
"26",25,0.0255376344086022,0.0268817204301075,0.0255376344086022,0.0282258064516129,0.0255376344086022,0.0268817204301075,0.0268817204301075,0.0309139784946237,0.0349462365591398,0.0295698924731183,0.0280913978494624,0.702284946236559,31.25,0.877856182795699
"27",26,0.0174731182795699,0.0134408602150538,0.0147849462365591,0.0241935483870968,0.0161290322580645,0.0241935483870968,0.00806451612903226,0.0201612903225806,0.0174731182795699,0.0241935483870968,0.018010752688172,0.468279569892473,32.5,0.585349462365591
"28",27,0.0134408602150538,0.00940860215053763,0.0134408602150538,0.0120967741935484,0.00806451612903226,0.0174731182795699,0.00403225806451613,0.00672043010752688,0.010752688172043,0.0188172043010753,0.0114247311827957,0.308467741935484,33.75,0.385584677419355
"29",28,0.010752688172043,0.00672043010752688,0.00672043010752688,0.00806451612903226,0.00940860215053763,0.00940860215053763,0.00940860215053763,0.00940860215053763,0.00537634408602151,0.00537634408602151,0.00806451612903226,0.225806451612903,35,0.282258064516129
"30",29,0.00403225806451613,0,0.00268817204301075,0.00672043010752688,0.00134408602150538,0.00403225806451613,0.00537634408602151,0.00268817204301075,0.00268817204301075,0.00806451612903226,0.00376344086021505,0.109139784946237,36.25,0.136424731182796
"31",30,0.00268817204301075,0.00134408602150538,0.00134408602150538,0.00134408602150538,0.00268817204301075,0.00268817204301075,0.00134408602150538,0.00537634408602151,0.00268817204301075,0.00268817204301075,0.00241935483870968,0.0725806451612903,37.5,0.0907258064516129
"32",31,0,0.00268817204301075,0.00403225806451613,0.00134408602150538,0.00403225806451613,0,0,0,0.00403225806451613,0,0.00161290322580645,0.05,38.75,0.0625
"33",32,0,0,0,0,0.00134408602150538,0.00134408602150538,0,0,0.00268817204301075,0.00134408602150538,0.000672043010752688,0.021505376344086,40,0.0268817204301075
"34",33,0,0,0.00134408602150538,0.00134408602150538,0,0,0,0,0.00268817204301075,0,0.000537634408602151,0.017741935483871,41.25,0.0221774193548387
"35",34,0.00134408602150538,0.00134408602150538,0,0,0,0,0,0,0,0,0.000268817204301075,0.00913978494623656,42.5,0.0114247311827957
"36",35,0.00134408602150538,0,0,0,0,0,0,0,0,0,0.000134408602150538,0.00470430107526882,43.75,0.00588037634408602
"37",36,0,0,0,0,0,0.00134408602150538,0,0,0,0,0.000134408602150538,0.00483870967741936,45,0.00604838709677419
"38",37,0,0,0,0,0,0,0,0,0,0,0,0,46.25,0
"39",38,0,0,0,0,0,0,0,0,0,0,0,0,47.5,0
"40",39,0,0,0,0,0,0,0,0,0,0,0,0,48.75,0
"41",40,0,0,0,0,0,0,0,0,0,0,0,0,50,0
